tournament_id,year,matches,mean_cis,median_cis,std_cis,mean_goal_diff,mean_elo_gap,draw_rate
WC-1930,1930,15,0.2944,0.2433,0.2302,2.4,186.292,0.0
WC-1950,1950,22,0.3868,0.3856,0.2676,2.2727,152.4536,0.1364
WC-1954,1954,18,0.2902,0.1658,0.3133,3.3333,161.51,0.1111
WC-1958,1958,27,0.5306,0.5031,0.2872,1.2963,150.5641,0.3704
WC-1962,1962,24,0.5017,0.4728,0.2445,1.5417,162.6354,0.2083
WC-1966,1966,24,0.5122,0.4647,0.2486,1.5,137.7942,0.2083
WC-1970,1970,24,0.4799,0.5118,0.2402,1.4583,150.7396,0.2083
WC-1974,1974,30,0.4857,0.4788,0.3028,1.8333,133.5783,0.2667
WC-1978,1978,36,0.528,0.5558,0.2475,1.4722,133.9019,0.25
WC-1982,1982,48,0.5514,0.6088,0.2832,1.3958,129.5137,0.3333
WC-1986,1986,36,0.6093,0.6627,0.2892,1.3333,77.3142,0.3056
WC-1990,1990,36,0.5254,0.5228,0.2461,1.3333,145.4861,0.2222
WC-1994,1994,36,0.5282,0.4969,0.2571,1.4167,121.4578,0.2222
WC-1998,1998,45,0.5576,0.6295,0.2899,1.3333,133.3409,0.3333
WC-2002,2002,48,0.5811,0.6034,0.2665,1.3333,104.3642,0.2917
WC-2006,2006,45,0.5106,0.4943,0.239,1.4,140.7387,0.2444
WC-2010,2010,48,0.5457,0.5415,0.2446,1.1875,166.2348,0.2917
WC-2014,2014,48,0.5154,0.5412,0.2584,1.4583,129.6983,0.1875
WC-2018,2018,48,0.5154,0.5239,0.2359,1.375,151.175,0.1875
WC-2022,2022,48,0.5095,0.4967,0.2357,1.375,168.51,0.2083
