tournament_id,team,first_match_date,elo_at_entry,year
WC-1930,Argentina,1930-07-15,1794.42,1930
WC-1930,Belgium,1930-07-13,1459.93,1930
WC-1930,Bolivia,1930-07-17,1307.88,1930
WC-1930,Brazil,1930-07-14,1589.7,1930
WC-1930,Chile,1930-07-16,1376.82,1930
WC-1930,France,1930-07-13,1333.58,1930
WC-1930,Mexico,1930-07-13,1476.16,1930
WC-1930,Paraguay,1930-07-17,1527.09,1930
WC-1930,Peru,1930-07-14,1384.36,1930
WC-1930,Romania,1930-07-14,1466.84,1930
WC-1930,United States,1930-07-13,1477.25,1930
WC-1930,Uruguay,1930-07-18,1691.64,1930
WC-1930,Yugoslavia,1930-07-14,1450.97,1930
WC-1950,Bolivia,1950-07-02,1356.13,1950
WC-1950,Brazil,1950-06-24,1795.47,1950
WC-1950,Chile,1950-06-25,1486.92,1950
WC-1950,England,1950-06-25,1842.12,1950
WC-1950,Italy,1950-06-25,1834.29,1950
WC-1950,Mexico,1950-06-24,1681.52,1950
WC-1950,Paraguay,1950-06-29,1717.79,1950
WC-1950,Spain,1950-06-25,1671.61,1950
WC-1950,Sweden,1950-06-25,1713.45,1950
WC-1950,Switzerland,1950-06-25,1529.39,1950
WC-1950,United States,1950-06-25,1442.81,1950
WC-1950,Uruguay,1950-07-02,1580.06,1950
WC-1950,Yugoslavia,1950-06-25,1662.08,1950
WC-1954,Austria,1954-06-16,1681.62,1954
WC-1954,Belgium,1954-06-17,1600.55,1954
WC-1954,Brazil,1954-06-16,1856.22,1954
WC-1954,Czechoslovakia,1954-06-16,1602.7,1954
WC-1954,England,1954-06-17,1789.84,1954
WC-1954,France,1954-06-16,1612.47,1954
WC-1954,Germany,1954-06-17,1782.77,1954
WC-1954,Hungary,1954-06-17,1889.45,1954
WC-1954,Italy,1954-06-17,1779.99,1954
WC-1954,Mexico,1954-06-16,1615.89,1954
WC-1954,Scotland,1954-06-16,1678.79,1954
WC-1954,South Korea,1954-06-17,1574.24,1954
WC-1954,Switzerland,1954-06-17,1511.12,1954
WC-1954,Turkey,1954-06-17,1530.04,1954
WC-1954,Uruguay,1954-06-16,1731.34,1954
WC-1954,Yugoslavia,1954-06-16,1768.11,1954
WC-1958,Argentina,1958-06-08,1889.43,1958
WC-1958,Austria,1958-06-08,1738.38,1958
WC-1958,Brazil,1958-06-08,1829.22,1958
WC-1958,Czechoslovakia,1958-06-08,1716.97,1958
WC-1958,England,1958-06-08,1818.86,1958
WC-1958,France,1958-06-08,1685.68,1958
WC-1958,Germany,1958-06-08,1749.63,1958
WC-1958,Hungary,1958-06-08,1899.94,1958
WC-1958,Mexico,1958-06-08,1671.86,1958
WC-1958,Northern Ireland,1958-06-08,1505.77,1958
WC-1958,Paraguay,1958-06-08,1602.82,1958
WC-1958,Russia,1958-06-08,1676.92,1958
WC-1958,Scotland,1958-06-08,1647.94,1958
WC-1958,Sweden,1958-06-08,1637.91,1958
WC-1958,Wales,1958-06-08,1536.48,1958
WC-1958,Yugoslavia,1958-06-08,1758.0,1958
WC-1962,Argentina,1962-05-30,1824.87,1962
WC-1962,Brazil,1962-05-30,1952.45,1962
WC-1962,Bulgaria,1962-05-30,1581.13,1962
WC-1962,Chile,1962-05-30,1599.72,1962
WC-1962,Colombia,1962-05-30,1349.34,1962
WC-1962,Czechoslovakia,1962-05-31,1802.62,1962
WC-1962,England,1962-05-31,1769.85,1962
WC-1962,Germany,1962-05-31,1734.76,1962
WC-1962,Hungary,1962-05-31,1795.04,1962
WC-1962,Italy,1962-05-31,1716.84,1962
WC-1962,Mexico,1962-05-30,1672.07,1962
WC-1962,Russia,1962-05-31,1881.44,1962
WC-1962,Spain,1962-05-31,1794.09,1962
WC-1962,Switzerland,1962-05-30,1568.98,1962
WC-1962,Uruguay,1962-05-30,1756.13,1962
WC-1962,Yugoslavia,1962-05-31,1842.54,1962
WC-1966,Argentina,1966-07-13,1818.56,1966
WC-1966,Brazil,1966-07-12,1859.75,1966
WC-1966,Bulgaria,1966-07-12,1659.6,1966
WC-1966,Chile,1966-07-13,1619.71,1966
WC-1966,England,1966-07-11,1836.01,1966
WC-1966,France,1966-07-13,1619.82,1966
WC-1966,Germany,1966-07-12,1806.04,1966
WC-1966,Hungary,1966-07-13,1812.49,1966
WC-1966,Italy,1966-07-13,1822.19,1966
WC-1966,Mexico,1966-07-13,1764.24,1966
WC-1966,North Korea,1966-07-12,1702.68,1966
WC-1966,Portugal,1966-07-13,1662.8,1966
WC-1966,Russia,1966-07-12,1862.53,1966
WC-1966,Spain,1966-07-13,1735.15,1966
WC-1966,Switzerland,1966-07-12,1509.0,1966
WC-1966,Uruguay,1966-07-11,1703.43,1966
WC-1970,Belgium,1970-06-03,1641.47,1970
WC-1970,Brazil,1970-06-03,1881.43,1970
WC-1970,Bulgaria,1970-06-02,1678.54,1970
WC-1970,Czechoslovakia,1970-06-03,1809.19,1970
WC-1970,El Salvador,1970-06-03,1543.37,1970
WC-1970,England,1970-06-02,1925.97,1970
WC-1970,Germany,1970-06-03,1852.05,1970
WC-1970,Israel,1970-06-02,1571.0,1970
WC-1970,Italy,1970-06-03,1862.98,1970
WC-1970,Mexico,1970-05-31,1630.99,1970
WC-1970,Morocco,1970-06-03,1599.24,1970
WC-1970,Peru,1970-06-02,1588.91,1970
WC-1970,Romania,1970-06-02,1649.2,1970
WC-1970,Russia,1970-05-31,1856.19,1970
WC-1970,Sweden,1970-06-03,1713.57,1970
WC-1970,Uruguay,1970-06-02,1735.17,1970
