tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-1930,1930,Group 1,Argentina,3,3,0,0,10,4,6,6,1
WC-1930,1930,Group 1,Chile,3,2,0,1,5,3,4,2,2
WC-1930,1930,Group 1,France,3,1,0,2,4,3,2,1,3
WC-1930,1930,Group 1,Mexico,3,0,0,3,4,13,0,-9,4
WC-1930,1930,Group 2,Yugoslavia,2,2,0,0,6,1,4,5,1
WC-1930,1930,Group 2,Brazil,2,1,0,1,5,2,2,3,2
WC-1930,1930,Group 2,Bolivia,2,0,0,2,0,8,0,-8,3
WC-1930,1930,Group 3,Uruguay,2,2,0,0,5,0,4,5,1
WC-1930,1930,Group 3,Romania,2,1,0,1,3,5,2,-2,2
WC-1930,1930,Group 3,Peru,2,0,0,2,1,4,0,-3,3
WC-1930,1930,Group 4,United States,2,2,0,0,6,0,4,6,1
WC-1930,1930,Group 4,Paraguay,2,1,0,1,1,3,2,-2,2
WC-1930,1930,Group 4,Belgium,2,0,0,2,0,4,0,-4,3
WC-1950,1950,Final Round,Uruguay,3,2,1,0,7,5,5,2,1
WC-1950,1950,Final Round,Brazil,3,2,0,1,14,4,4,10,2
WC-1950,1950,Final Round,Sweden,3,1,0,2,6,11,2,-5,3
WC-1950,1950,Final Round,Spain,3,0,1,2,4,11,1,-7,4
WC-1950,1950,Group 1,Brazil,3,2,1,0,8,2,5,6,1
WC-1950,1950,Group 1,Yugoslavia,3,2,0,1,7,3,4,4,2
WC-1950,1950,Group 1,Switzerland,3,1,1,1,4,6,3,-2,3
WC-1950,1950,Group 1,Mexico,3,0,0,3,2,10,0,-8,4
WC-1950,1950,Group 2,Spain,3,3,0,0,6,1,6,5,1
WC-1950,1950,Group 2,England,3,1,0,2,2,2,2,0,2
WC-1950,1950,Group 2,Chile,3,1,0,2,5,6,2,-1,3
WC-1950,1950,Group 2,United States,3,1,0,2,4,8,2,-4,4
WC-1950,1950,Group 3,Sweden,2,1,1,0,5,4,3,1,1
WC-1950,1950,Group 3,Italy,2,1,0,1,4,3,2,1,2
WC-1950,1950,Group 3,Paraguay,2,0,1,1,2,4,1,-2,3
WC-1950,1950,Group 4,Uruguay,1,1,0,0,8,0,2,8,1
WC-1950,1950,Group 4,Bolivia,1,0,0,1,0,8,0,-8,2
WC-1954,1954,Group 1,Brazil,2,1,1,0,6,1,3,5,1
